brand,model,generation,pagerank,degree_centrality,betweenness_centrality
Porsche,Panamera,Porsche Panamera Turbo S Sport Turismo,0.005001571021214174,0.28,0.009121238888479193
Porsche,Panamera,Porsche Panamera Turbo S Executive,0.005001571021214174,0.28,0.009121238888479193
Land Rover,Range Rover Sport,Land Rover Range Rover Sport P635 SV Edition Two,0.004998136092862952,0.2690909090909091,0.004631736884039211
Land Rover,Range Rover Sport,Land Rover Range Rover Sport P635 SV Carbon,0.004998136092862952,0.2690909090909091,0.004631736884039211
Land Rover,Range Rover Sport,Land Rover Range Rover Sport P635 SV Black,0.004998136092862951,0.2690909090909091,0.004631736884039211
Land Rover,Range Rover Sport,Land Rover Range Rover Sport P635 SV Edition One,0.004998136092862951,0.2690909090909091,0.004631736884039211
Land Rover,Defender,Land Rover Defender 110 P635 Octa,0.004998136092862951,0.2690909090909091,0.004631736884039211
Land Rover,Defender,Land Rover Defender 110 P635 Octa Edition One,0.00499813609286295,0.2690909090909091,0.004631736884039211
Land Rover,Defender,Land Rover Defender 110 P635 Octa Black,0.00499813609286295,0.2690909090909091,0.004631736884039211
Mercedes-Benz,S Class,Mercedes-Benz S-Class Maybach S 650 4MATIC,0.004869456343280641,0.24727272727272728,0.0034075811489764885
Mercedes-Benz,Sl,Mercedes-Benz SL 63 AMG 4MATIC+,0.004825795706033489,0.24363636363636362,0.0028244933328542368
Mercedes-Benz,Amg Gt,Mercedes-Benz AMG GT 63 4MATIC+ Night Edition,0.004825795706033489,0.24363636363636362,0.0028244933328542368
Mercedes-Benz,Sl,Mercedes-Benz SL 63 AMG 4MATIC+ Night Edition,0.004825795706033489,0.24363636363636362,0.0028244933328542368
Mercedes-Benz,Gls,Mercedes-Benz GLS 63 AMG 4MATIC+,0.004808023771142676,0.24363636363636362,0.002568962612557143
Mercedes-Benz,Sl,Mercedes-Benz SL 63 AMG S E Performance,0.004808023771142675,0.24363636363636362,0.002568962612557143
Mercedes-Benz,Amg Gt,Mercedes-Benz AMG GT 63 S E Performance Night Edition,0.004808023771142675,0.24363636363636362,0.002568962612557143
Mercedes-Benz,Amg Gt,Mercedes-Benz AMG GT 63 S E Performance,0.004808023771142675,0.24363636363636362,0.002568962612557143
Mercedes-Benz,Sl,Mercedes-Benz SL 63 AMG S E Performance Night Edition,0.004808023771142675,0.24363636363636362,0.002568962612557143
Porsche,911,Porsche 911 Turbo S Cabriolet,0.0047889257968584216,0.2581818181818182,0.011223080149017689
Porsche,Cayenne,Porsche Cayenne Turbo GT Coupé,0.004779850444013251,0.26545454545454544,0.008138617876924485
